
id,position,type
MCO606252982,1,ITEM
MCO563014164,2,ITEM
MCO873278577,3,ITEM
MCO539379042,4,ITEM
MCO513434416,5,ITEM
MCO551890327,6,ITEM
MCO896054656,7,ITEM
MCO862593821,8,ITEM
MCO862593950,9,ITEM
MCO628704478,10,ITEM
MCO895166160,11,ITEM
MCO590951181,12,ITEM
MCO552647543,13,ITEM
MCO582134849,14,ITEM
MCO539935721,15,ITEM
MCO580157083,16,ITEM
MCO608752538,17,ITEM
MCO620533029,18,ITEM
MCO836088341,19,ITEM
MCO860160254,20,ITEM
MCO497301208,1,ITEM
MCO644901123,2,ITEM
MCO608500080,3,ITEM
MCO861238980,4,ITEM
MCO556546982,5,ITEM
MCO649399747,6,ITEM
MCO558608316,7,ITEM
MCO536096623,8,ITEM
MCO534866569,9,ITEM
MCO463784658,10,ITEM
MCO516038436,11,ITEM
MCO558638412,12,ITEM
MCO528504204,13,ITEM
MCO512967357,14,ITEM
MCO572556993,15,ITEM
MCO529668007,16,ITEM
MCO615904207,17,ITEM
MCO601252530,18,ITEM
MCO621923021,19,ITEM
MCO598909424,20,ITEM
MCO18577861,1,PRODUCT
MCO611440270,2,ITEM
MCO15997409,3,PRODUCT
MCO481972170,4,ITEM
MCO18914755,5,PRODUCT
MCO621547380,6,ITEM
MCO835391374,7,ITEM
MCO6141231,8,PRODUCT
MCO589168999,9,ITEM
MCO15279609,10,PRODUCT
MCO565779928,11,ITEM
MCO857972256,12,ITEM
MCO520096335,13,ITEM
MCO484811309,14,ITEM
MCO454240202,15,ITEM
MCO452812575,16,ITEM
MCO567537772,17,ITEM
MCO18720025,18,PRODUCT
MCO612437224,19,ITEM
MCO608521946,20,ITEM
MCO602899347,1,ITEM
MCO602899427,2,ITEM
MCO602899159,3,ITEM
MCO602897535,4,ITEM
MCO834057776,5,ITEM
MCO602899762,6,ITEM
MCO820124073,7,ITEM
MCO831351212,8,ITEM
MCO602899653,9,ITEM
MCO822905494,10,ITEM
MCO849281403,11,ITEM
MCO554457206,12,ITEM
MCO602899567,13,ITEM
MCO818941364,14,ITEM
MCO611461900,15,ITEM
MCO644092261,16,ITEM
MCO577975745,1,ITEM
MCO599208809,2,ITEM
MCO575309533,3,ITEM
MCO15159201,4,PRODUCT
MCO862396628,5,ITEM
MCO11547167,6,PRODUCT
MCO597086359,7,ITEM
MCO576058156,8,ITEM
MCO854554910,9,ITEM
MCO531962452,10,ITEM
MCO590704025,11,ITEM
MCO644029670,12,ITEM
MCO558523779,13,ITEM
MCO807333134,14,ITEM
MCO558155384,15,ITEM
MCO450298116,16,ITEM
MCO578619034,17,ITEM
MCO15157109,18,PRODUCT
MCO889001026,19,ITEM
MCO824697357,20,ITEM
MCO16224063,1,PRODUCT
MCO16141900,2,PRODUCT
MCO15283838,3,PRODUCT
MCO19031223,4,PRODUCT
MCO18969685,5,PRODUCT
MCO6344841,6,PRODUCT
MCO18055304,7,PRODUCT
MCO15927746,8,PRODUCT
MCO6172244,9,PRODUCT
MCO18968544,10,PRODUCT
MCO821523245,11,ITEM
MCO573195578,12,ITEM
MCO17796174,13,PRODUCT
MCO866872093,14,ITEM
MCO621243499,15,ITEM
MCO15963018,16,PRODUCT
MCO614109695,17,ITEM
MCO8612105,18,PRODUCT
MCO18055305,19,PRODUCT
MCO551831673,20,ITEM
MCO19035706,1,PRODUCT
MCO17978326,2,PRODUCT
MCO610508302,3,ITEM
MCO10687522,4,PRODUCT
MCO10448369,5,PRODUCT
MCO18610706,6,PRODUCT
MCO16211422,7,PRODUCT
MCO16051104,8,PRODUCT
MCO577680753,9,ITEM
MCO574013966,10,ITEM
MCO18102729,11,PRODUCT
MCO11011362,12,PRODUCT
MCO16056056,13,PRODUCT
MCO561844318,14,ITEM
MCO18185023,15,PRODUCT
MCO650986244,16,ITEM
MCO563925409,17,ITEM
MCO603888750,18,ITEM
MCO451852782,19,ITEM
MCO17360590,20,PRODUCT
MCO16056056,1,PRODUCT
MCO10312330,2,PRODUCT
MCO16650345,3,PRODUCT
MCO17375584,4,PRODUCT
MCO15304334,5,PRODUCT
MCO10295970,6,PRODUCT
MCO19472089,7,PRODUCT
MCO878419024,8,ITEM
MCO10312325,9,PRODUCT
MCO18537259,10,PRODUCT
MCO567238499,11,ITEM
MCO6407334,12,PRODUCT
MCO9406415,13,PRODUCT
MCO15085750,14,PRODUCT
MCO462645877,15,ITEM
MCO15089632,16,PRODUCT
MCO18437513,17,PRODUCT
MCO8753142,18,PRODUCT
MCO878197142,19,ITEM
MCO15085755,20,PRODUCT
MCO568121673,1,ITEM
MCO885660169,2,ITEM
MCO572035586,3,ITEM
MCO561248081,4,ITEM
MCO876084882,5,ITEM
MCO551841549,6,ITEM
MCO652679060,7,ITEM
MCO905491705,8,ITEM
MCO817626675,9,ITEM
MCO622606691,10,ITEM
MCO656000698,11,ITEM
MCO613484211,12,ITEM
MCO652680109,13,ITEM
MCO573196777,14,ITEM
MCO613488388,15,ITEM
MCO611348761,16,ITEM
MCO647041452,17,ITEM
MCO602167001,18,ITEM
MCO487512710,19,ITEM
MCO602224637,20,ITEM
MCO571464380,1,ITEM
MCO610951513,2,ITEM
MCO564169608,3,ITEM
MCO575340469,4,ITEM
MCO17796174,5,PRODUCT
MCO802972595,6,ITEM
MCO640527451,7,ITEM
MCO564427813,8,ITEM
MCO15963018,9,PRODUCT
MCO559272772,10,ITEM
MCO831126041,11,ITEM
MCO601054452,12,ITEM
MCO612105307,13,ITEM
MCO468268025,14,ITEM
MCO568025248,15,ITEM
MCO578116187,16,ITEM
MCO550837677,17,ITEM
MCO642327002,18,ITEM
MCO532672853,19,ITEM
MCO579271482,20,ITEM
MCO19101758,1,PRODUCT
MCO594407833,2,ITEM
MCO637090468,3,ITEM
MCO618122013,4,ITEM
MCO599259228,5,ITEM
MCO616199857,6,ITEM
MCO879826902,7,ITEM
MCO608296886,8,ITEM
MCO836823788,9,ITEM
MCO15144684,10,PRODUCT
MCO651380319,11,ITEM
MCO550697742,12,ITEM
MCO15797166,13,PRODUCT
MCO533593478,14,ITEM
MCO846353153,15,ITEM
MCO450443967,16,ITEM
MCO18185615,17,PRODUCT
MCO844055554,18,ITEM
MCO570307352,19,ITEM
MCO851245559,20,ITEM
MCO13841393,1,PRODUCT
MCO16224063,2,PRODUCT
MCO16141900,3,PRODUCT
MCO15283838,4,PRODUCT
MCO19031223,5,PRODUCT
MCO18329378,6,PRODUCT
MCO16369065,7,PRODUCT
MCO15248172,8,PRODUCT
MCO584762992,9,ITEM
MCO614541425,10,ITEM
MCO6344841,11,PRODUCT
MCO15534261,12,PRODUCT
MCO18055304,13,PRODUCT
MCO16233185,14,PRODUCT
MCO16212508,15,PRODUCT
MCO15970894,16,PRODUCT
MCO539116150,17,ITEM
MCO546138353,18,ITEM
MCO546139101,19,ITEM
MCO15248175,20,PRODUCT
MCO18507736,1,PRODUCT
MCO464415871,2,ITEM
MCO574335807,3,ITEM
MCO19102821,4,PRODUCT
MCO457459278,5,ITEM
MCO518740926,6,ITEM
MCO603585723,7,ITEM
MCO831606150,8,ITEM
MCO482788281,9,ITEM
MCO15312962,10,PRODUCT
MCO15388686,11,PRODUCT
MCO550631358,12,ITEM
MCO837639842,13,ITEM
MCO868132248,14,ITEM
MCO609158622,15,ITEM
MCO599797355,16,ITEM
MCO493618665,17,ITEM
MCO596025951,18,ITEM
MCO534176209,19,ITEM
MCO817683769,20,ITEM
MCO536523458,1,ITEM
MCO18593981,2,PRODUCT
MCO838111286,3,ITEM
MCO502633990,4,ITEM
MCO496317241,5,ITEM
MCO652645655,6,ITEM
MCO651877459,7,ITEM
MCO583631476,8,ITEM
MCO617352204,9,ITEM
MCO614449422,10,ITEM
MCO585507417,11,ITEM
MCO610867983,12,ITEM
MCO628756280,13,ITEM
MCO611822624,14,ITEM
MCO566712642,15,ITEM
MCO612674287,16,ITEM
MCO461350040,17,ITEM
MCO511913823,18,ITEM
MCO547987693,19,ITEM
MCO569411665,20,ITEM
MCO808445031,1,ITEM
MCO808406315,2,ITEM
MCO571817761,3,ITEM
MCO802879532,4,ITEM
MCO618408064,5,ITEM
MCO818458223,6,ITEM
MCO548785709,7,ITEM
MCO559619949,8,ITEM
MCO814155650,9,ITEM
MCO565747154,10,ITEM
MCO617631999,11,ITEM
MCO521946693,12,ITEM
MCO805925386,13,ITEM
MCO612618189,14,ITEM
MCO851483290,15,ITEM
MCO15103335,16,PRODUCT
MCO567024231,17,ITEM
MCO558788071,18,ITEM
MCO568295595,19,ITEM
MCO579022130,20,ITEM
MCO562286973,1,ITEM
MCO603458010,2,ITEM
MCO807394561,3,ITEM
MCO516816285,4,ITEM
MCO561427669,5,ITEM
MCO637229213,6,ITEM
MCO17944890,7,PRODUCT
MCO589238895,8,ITEM
MCO816513299,9,ITEM
MCO544779433,10,ITEM
MCO634863466,11,ITEM
MCO572736924,12,ITEM
MCO578999373,13,ITEM
MCO578858564,14,ITEM
MCO610839880,15,ITEM
MCO562736935,16,ITEM
MCO474175964,17,ITEM
MCO446412806,18,ITEM
MCO502110528,19,ITEM
MCO16209549,20,PRODUCT
MCO822937587,1,ITEM
MCO617052043,2,ITEM
MCO875113562,3,ITEM
MCO876168519,4,ITEM
MCO617574146,5,ITEM
MCO879850919,6,ITEM
MCO852764354,7,ITEM
MCO800414757,8,ITEM
MCO604466988,9,ITEM
MCO501077730,10,ITEM
MCO809905764,11,ITEM
MCO655631787,12,ITEM
MCO850764466,13,ITEM
MCO616658091,14,ITEM
MCO625058888,15,ITEM
MCO15697791,16,PRODUCT
MCO646516502,17,ITEM
MCO460671849,18,ITEM
MCO616017907,19,ITEM
MCO840822709,20,ITEM
MCO881721209,1,ITEM
MCO898149078,2,ITEM
MCO810846992,3,ITEM
MCO913605804,4,ITEM
MCO877222352,5,ITEM
MCO870961860,6,ITEM
MCO926600619,7,ITEM
MCO908182590,8,ITEM
MCO810419784,9,ITEM
MCO915028565,10,ITEM
MCO938827824,11,ITEM
MCO811520898,12,ITEM
MCO927077830,13,ITEM
MCO809008323,14,ITEM
MCO919517090,15,ITEM
MCO584440730,16,ITEM
MCO907397268,17,ITEM
MCO857221608,18,ITEM
MCO922215701,19,ITEM
MCO875581169,20,ITEM
MCO451548312,1,ITEM
MCO912301103,2,ITEM
MCO577072806,3,ITEM
MCO905966570,4,ITEM
MCO858898762,5,ITEM
MCO639226313,6,ITEM
MCO816044283,7,ITEM
MCO858866453,8,ITEM
MCO644698933,9,ITEM
MCO450330313,10,ITEM
MCO584990730,11,ITEM
MCO911323870,12,ITEM
MCO564074038,13,ITEM
MCO892897785,14,ITEM
MCO599523003,15,ITEM
MCO618390003,16,ITEM
MCO853852380,17,ITEM
MCO896307894,18,ITEM
MCO853066740,19,ITEM
MCO886238608,20,ITEM
MCO465527132,1,ITEM
MCO823841269,2,ITEM
MCO502637567,3,ITEM
MCO841065139,4,ITEM
MCO578255560,5,ITEM
MCO837409976,6,ITEM
MCO832960731,7,ITEM
MCO580423060,8,ITEM
MCO899936576,9,ITEM
MCO461097759,10,ITEM
MCO865121983,11,ITEM
MCO908964787,12,ITEM
MCO873368032,13,ITEM
MCO478438758,14,ITEM
MCO837749162,15,ITEM
MCO844327128,16,ITEM
MCO872212140,17,ITEM
MCO563734766,18,ITEM
MCO841071461,19,ITEM
MCO844309988,20,ITEM
MCO837388524,1,ITEM
MCO617060918,2,ITEM
MCO16219140,3,PRODUCT
MCO842357406,4,ITEM
MCO592117142,5,ITEM
MCO574696244,6,ITEM
MCO881389245,7,ITEM
MCO649744420,8,ITEM
MCO597209296,9,ITEM
MCO597774565,10,ITEM
MCO833838691,11,ITEM
MCO851290804,12,ITEM
MCO556538842,13,ITEM
MCO608087963,14,ITEM
MCO547815834,15,ITEM
MCO820065046,16,ITEM
MCO521874350,17,ITEM
MCO832865452,18,ITEM
MCO454101711,19,ITEM
MCO614793012,20,ITEM
MCO865276202,1,ITEM
MCO595415616,2,ITEM
MCO570390863,3,ITEM
MCO604599594,4,ITEM
MCO865257635,5,ITEM
MCO860959440,6,ITEM
MCO563872000,7,ITEM
MCO617819876,8,ITEM
MCO862780478,9,ITEM
MCO568321632,10,ITEM
MCO800009540,11,ITEM
MCO852835294,12,ITEM
MCO576870813,13,ITEM
MCO598132209,14,ITEM
MCO865257172,15,ITEM
MCO869692087,16,ITEM
MCO561105839,17,ITEM
MCO910872828,18,ITEM
MCO807883992,19,ITEM
MCO617782686,20,ITEM
MCO602901651,1,ITEM
MCO653055300,2,ITEM
MCO15280499,3,PRODUCT
MCO608331969,4,ITEM
MCO865169207,5,ITEM
MCO801736811,6,ITEM
MCO835099260,7,ITEM
MCO512390678,8,ITEM
MCO568012815,9,ITEM
MCO17750628,10,PRODUCT
MCO11048407,11,PRODUCT
MCO878363623,12,ITEM
MCO508140231,13,ITEM
MCO629396647,14,ITEM
MCO607982756,15,ITEM
MCO578830962,16,ITEM
MCO822914013,17,ITEM
MCO451549573,18,ITEM
MCO566618223,19,ITEM
MCO531303258,20,ITEM
MCO549732944,1,ITEM
MCO622390083,2,ITEM
MCO479513573,3,ITEM
MCO857876857,4,ITEM
MCO892889740,5,ITEM
MCO851293087,6,ITEM
MCO598423052,7,ITEM
MCO590213777,8,ITEM
MCO640461228,9,ITEM
MCO879358352,10,ITEM
MCO563153800,11,ITEM
MCO532437392,12,ITEM
MCO611763583,13,ITEM
MCO843648708,14,ITEM
MCO637199918,15,ITEM
MCO562433644,16,ITEM
MCO454844305,17,ITEM
MCO645543742,18,ITEM
MCO938462774,19,ITEM
MCO658953590,20,ITEM
